ชื่อ,ภูมิภาค,Tier,คะแนน,Effect,Cost,หมายเหตุ,ทั้งหมด,คอลัมน์ 1
อุทยานแห่งชาติเจ็ดคด - โป่งก้อนเส้า,ภาคกลาง,1,,,,,26,ภาคกลาง + ตก + ออก
อุทยานแห่งชาติน้ำตกเจ็ดสาวน้อย,ภาคกลาง,,,,,,64,ภาคเหนือ
อุทยานแห่งชาติน้ำตกสามหลั่น,ภาคกลาง,,,,,,39,ภาคใต้
อุทยานแห่งชาติพุเตย,ภาคกลาง,,,,,,27,ภาคอีสาน
อุทยานแห่งชาติกุยบุรี,ภาคตะวันตก,,,,,,156,
อุทยานแห่งชาติแก่งกระจาน,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเขาสามร้อยยอด,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเขาแหลม,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเขื่อนศรีนครินทร์,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเฉลิมพระเกียรติไทยประจัน,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเฉลิมรัตนโกสินทร์,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติทองผาภูมิ,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติไทรโยค,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติน้ำตกห้วยยาง,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติลำคลองงู,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติหาดวนกร,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติอ่าวสยาม (เตรียมการฯ),ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเอราวัณ,ภาคตะวันตก,,,,,,,
อุทยานแห่งชาติเขาคิชฌกูฏ,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติเขาชะเมา-เขาวง,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติเขาสิบห้าชั้น,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติเขาแหลมหญ้า-หมู่เกาะเสม็ด,ภาคตะวันออก,4,4 คะแนน,E9 ได้ Resource เพิ่ม,,,,
อุทยานแห่งชาติน้ำตกคลองแก้ว,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติน้ำตกพลิ้ว,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติปางสีดา,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติหมู่เกาะช้าง,ภาคตะวันออก,,,,,,,
อุทยานแห่งชาติแก่งกรุง,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขานัน,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาน้ำค้าง,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาปู่-เขาย่า,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาพนมเบญจา,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาลำปี-หาดท้ายเหมือง,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาสก,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาหลวง,ภาคใต้,,,,,,,
อุทยานแห่งชาติเขาหลัก-ลำรู่,ภาคใต้,,,,,,,
อุทยานแห่งชาติคลองพนม,ภาคใต้,,,,,,,
อุทยานแห่งชาติตะรุเตา,ภาคใต้,,,,,,,
อุทยานแห่งชาติใต้ร่มเย็น,ภาคใต้,,,,,,,
อุทยานแห่งชาติทะเลบัน,ภาคใต้,,,,,,,
อุทยานแห่งชาติธารโบกขรณี,ภาคใต้,,,,,,,
อุทยานแห่งชาติธารเสด็จ-เกาะพะงัน,ภาคใต้,,,,,,,
อุทยานแห่งชาติน้ำตกซีโป,ภาคใต้,,,,,,,
อุทยานแห่งชาติน้ำตกทรายขาว,ภาคใต้,,,,,,,
อุทยานแห่งชาติน้ำตกโยง,ภาคใต้,,,,,,,
อุทยานแห่งชาติน้ำตกสี่ขีด,ภาคใต้,,,,,,,
อุทยานแห่งชาติน้ำตกหงาว,ภาคใต้,,,,,,,
อุทยานแห่งชาติบางลาง,ภาคใต้,,,,,,,
อุทยานแห่งชาติบูโด-สุไหงปาดี,ภาคใต้,,,,,,,
อุทยานแห่งชาติลำน้ำกระบุรี,ภาคใต้,,,,,,,
อุทยานแห่งชาติศรีพังงา,ภาคใต้,,,,,,,
อุทยานแห่งชาติสันกาลาคีรี,ภาคใต้,,,,,,,
อุทยานแห่งชาติสิรินาถ,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะชุมพร,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะเภตรา,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะระนอง,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะลันตา,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะสิมิลัน,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะสุรินทร์,ภาคใต้,,,,,,,
อุทยานแห่งชาติหมู่เกาะอ่างทอง,ภาคใต้,,,,,,,
อุทยานแห่งชาติหาดขนอม-หมู่เกาะทะเลใต้,ภาคใต้,,,,,,,
อุทยานแห่งชาติหาดเจ้าไหม,ภาคใต้,,,,,,,
อุทยานแห่งชาติหาดนพรัตน์ธารา-หมู่เกาะพีพี,ภาคใต้,4,4 คะแนน,"E9 ได้ Resource เพิ่ม, E12 Endgame bonus","🌳, 📷",,,
อุทยานแห่งชาติแหลมสน,ภาคใต้,,,,,,,
อุทยานแห่งชาติอ่าวพังงา,ภาคใต้,,,,,,,
อุทยานแห่งชาติอ่าวมะนาว-เขาตันหยง,ภาคใต้,,,,,,,
อุทยานแห่งชาติขุนขาน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติขุนแจ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติขุนน่าน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติขุนพะวอ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติขุนสถาน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติเขลางค์บรรพต (เตรียมการฯ),ภาคเหนือ,,,,,,,
อุทยานแห่งชาติเขาค้อ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติคลองลาน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติคลองวังเจ้า,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแควน้อย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแจ้ซ้อน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยขุนตาล,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยจง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยผากลอง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยผ้าห่มปก,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยภูคา,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยภูนาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยเวียงผา,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยสอยมาลัย -ไม้กลายเป็นหิน(เตรียมการ),ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยสุเทพ-ปุย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยหลวง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติดอยอินทนนท์,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติต้นสักใหญ่,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติตากสินมหาราช,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติตาดหมอก,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติถ้ำปลา-น้ำตกผาเสื่อ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติถ้ำผาไท,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติถ้ำสะเกิน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติถ้ำหลวง-ขุนน้ำนางนอน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติทุ่งแสลงหลวง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาตินันทบุรี,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติน้ำตกชาติตระการ,ภาคเหนือ,,,,,,,
"อุทยานแห่งชาติน้ำตกบัวตอง - น้ำพุเจ็ดสี
(เตรียมการฯ)",ภาคเหนือ,,,,,,,
อุทยานแห่งชาติน้ำตกพาเจริญ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติน้ำตกแม่สุรินทร์,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติผาแดง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูชี้ฟ้า,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูซาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูสอยดาว,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติภูหินร่องกล้า,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่เงา,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่จริม,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ตะไคร้,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่โถ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ปิง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ปืม,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่เมย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่ยม,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่วงก์,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่วะ,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่วาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแม่สะเรียง (เตรียมการ),ภาคเหนือ,,,,,,,
อุทยานแห่งชาติรามคำแหง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติลานสาง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติลำน้ำกก,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติลำน้ำน่าน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติเวียงโกศัย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติศรีน่าน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติศรีลานนา,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติศรีสัชนาลัย,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติสาละวิน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติห้วยน้ำดัง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติออบขาน,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติออบหลวง,ภาคเหนือ,,,,,,,
อุทยานแห่งชาติแก่งตะนะ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติเขาพระวิหาร,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติเขาใหญ่,ภาคอีสาน,4,4 คะแนน,"E8 เก็บการ์ด +1, E3 2 → 1 Conversion","🌳, 📷, 🚗",🌳x 5 🚗x3 📷x2,,
อุทยานแห่งชาติตาดโตน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติตาพระยา,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติทับลาน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติไทรทอง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาตินายูง-น้ำโสม,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติน้ำพอง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติน้ำหนาว,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติป่าหินงาม,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติผาแต้ม,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูกระดึง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูเก้า-ภูพานคำ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูจอง-นายอย,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผาเทิบ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผาม่าน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผายล,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูผาเหล็ก,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูพาน,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูเรือ,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูลังกา,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูแลนคา,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูเวียง,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูสระดอกบัว,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูสวนทราย,ภาคอีสาน,,,,,,,
อุทยานแห่งชาติภูหินจอมธาตุ - ภูพระบาท (เตรียมการฯ),ภาคอีสาน,,,,,,,